Category Name,Average Sales Rank
"Brando, Marlon",138.0
"DeNiro, Robert",138.0
"Pacino, Al",138.0
"Coppola, Francis Ford",138.0
Boxed Sets,138.0
"Wiesel, Elie",174.0
Gay Gasper,181.0
Toilet Training,209.0
Books for Kids,209.0
Potty Training Books,209.0
"Aniston, Jennifer",300.0
"Bader, Diedrich",300.0
"Cole, Gary",300.0
"Duffey, Todd",300.0
"McGinley, John C",300.0
"Naidu, Ajay",300.0
"Riehle, Richard",300.0
"Root, Stephen",300.0
"Wentworth, Alexandra",300.0
"Judge, Mike",300.0
Black Comedy,300.0
Comedy,300.0
Hit Movies Under $20,300.0
Corporate Life,300.0
All Titles,307.0
7-11 Years,307.0
For the Whole Family,307.0
"Bale, Christian",307.0
"Casella, Max",307.0
"Damon, Gabriel",307.0
"Edwards, Luke",307.0
"Goorjian, Michael A",307.0
"Moscow, David",307.0
"Ortega, Kenny",307.0
"Baryshnikov, Mikhail",390.0
"Benzali, Daniel",390.0
"Glover, John",390.0
"Gryff, Stefan",390.0
"Hines, Gregory",390.0
"Hootkins, William",390.0
"Mirren, Helen",390.0
"Page, Geraldine",390.0
"Rossellini, Isabella",390.0
"Hackford, Taylor",390.0
Linda Arkin,628.0
Stretching,628.0
Fitness,628.0
Legs,693.0
Claudia Schiffer,693.0
"Hiaasen, Carl",722.0
"Ahn, Philip",852.0
"Aleong, Aki",852.0
"Bissell, Whit",852.0
"Bronson, Charles",852.0
"Donlevy, Brian",852.0
"Henreid, Paul",852.0
"Johnson, Richard",852.0
"Jones, Dean",852.0
"Lawford, Peter",852.0
"Lollobrigida, Gina",852.0
"Mcqueen, Steve",852.0
"Sinatra, Frank",852.0
"Sturges, John",852.0
Charles Bronson,852.0
Steve McQueen,852.0
CDs $7 - $10,1007.0
CDs $7 - $10,1007.0
CDs $7 - $10,1007.0
CDs $7 - $10,1007.0
CDs $7 - $10,1007.0
CDs $7 - $10,1007.0
All Bargain Titles,1007.0
All Bargain Titles,1007.0
All Bargain Titles,1007.0
All Bargain Titles,1007.0
All Bargain Titles,1007.0
All Bargain Titles,1007.0
"Bromberg, J Edward",1047.0
"Brooks, Phyllis",1047.0
"Demarest, William",1047.0
"Dinehart, Alan",1047.0
"Haley, Jack",1047.0
"Harvey, Paul",1047.0
"Hurst, Paul",1047.0
"Robinson, Bill",1047.0
"Scott, Randolph",1047.0
"Stuart, Gloria",1047.0
"Summerville, Slim",1047.0
"Westley, Helen",1047.0
"Wilson, Clarence",1047.0
"Dwan, Allan",1047.0
"Bowen, Julie",1108.0
"Cusack, Ann",1108.0
"Kampmann, Steven",1108.0
"Masur, Richard",1108.0
"Piddock, Jim",1108.0
"Yulin, Harris",1108.0
"Ramis, Harold",1108.0
Comedy,1108.0
Harold Ramis,1108.0
"Blicker, Jason",1130.0
"Bracco, Lorraine",1130.0
"Dobson, Peter",1130.0
"Lasser, Louise",1130.0
"Steen, Jessica",1130.0
Teen Drama,1130.0
"Arnold, Tom",1144.0
"Carrere, Tia",1144.0
"Curtis, Jamie Lee",1144.0
"Dushku, Eliza",1144.0
"Malik, Art",1144.0
"Morris, Jane",1144.0
"Paxton, Bill",1144.0
"Schwarzenegger, Arnold",1144.0
"Cameron, James",1144.0
Espionage,1144.0
Arnold Schwarzenegger,1144.0
James Cameron,1144.0
General,1144.0
"Carter, Helena Bonham",1190.0
"Redgrave, Vanessa",1190.0
"Scales, Prunella",1190.0
"Tandy, Mark",1190.0
"Thompson, Emma",1190.0
"West, Samuel",1190.0
"Ivory, James",1190.0
English Language,1190.0
All Sony Pictures Classics,1190.0
Yoga,1227.5
Yoga,1227.5
"Arden, Eve",1249.0
"Avalon, Frankie",1249.0
"Byrnes, Edd",1249.0
